Food_ID,Food_Name,Cuisine,Type,Calories,Protein,Fat,Carbs,Meal_Type,Price
99,Vegetable Pulao,Mediterranean,Veg,564,39.3,15.4,49.2,Dinner,269
100,Dal Tadka with Roti,Chinese,Veg,324,17.9,2.7,65.6,Dinner,228
101,Veg Manchurian,Mediterranean,Veg,322,7.3,3.3,18.2,Dinner,230
102,Jeera Rice with Curry,Chinese,Veg,597,31.9,8.1,49.4,Dinner,300
103,Malai Kofta,Indian,Veg,252,14.8,19.3,55.5,Dinner,201
104,Baingan Bharta,Italian,Veg,612,5.9,29.7,60.3,Dinner,301
105,Gobi Masala,Indian,Veg,528,23.1,6.7,22.4,Dinner,283
106,Poha,Italian,Veg,606,37.2,25.6,46.6,Breakfast,157
107,Upma,Thai,Veg,470,12.0,21.2,34.0,Breakfast,132
108,Aloo Paratha,Mexican,Veg,341,34.2,14.1,37.4,Breakfast,120
109,Masala Dosa,Mediterranean,Veg,435,10.4,28.0,32.0,Breakfast,117
110,Idli Sambar,Italian,Veg,160,24.5,3.0,59.9,Breakfast,174
111,Pav Bhaji,Mediterranean,Veg,457,15.8,12.5,28.8,Breakfast,200
112,Chole Kulche,Mediterranean,Veg,510,12.0,14.9,18.1,Breakfast,144
113,Veg Sandwich,Mexican,Veg,232,34.6,29.2,77.2,Breakfast,101
114,Thepla,Indian,Veg,193,10.3,8.5,19.4,Breakfast,176
115,Vegetable Uttapam,Chinese,Veg,243,39.7,14.9,26.7,Breakfast,118
116,Besan Chilla,Mexican,Veg,192,17.2,3.0,47.1,Breakfast,179
117,Stuffed Paratha,Continental,Veg,481,5.9,10.9,62.3,Breakfast,151
118,Onion Dosa,Chinese,Veg,500,8.1,7.7,16.6,Breakfast,124
119,Poori Sabzi,Italian,Veg,204,14.6,7.1,49.1,Breakfast,116
120,Paneer Paratha,Mexican,Veg,286,39.5,28.0,31.1,Breakfast,150
121,Chicken Tikka,Chinese,Non-Veg,202,10.0,16.7,41.3,Snack,107
122,Egg Roll,Thai,Non-Veg,472,20.6,7.4,73.6,Snack,74
123,Chicken Pakora,Mexican,Non-Veg,585,19.4,25.1,51.0,Snack,186
124,Fish Fingers,Italian,Non-Veg,317,33.0,29.9,47.3,Snack,100
125,Chicken Nuggets,Italian,Non-Veg,202,32.3,9.2,30.4,Snack,182
126,Mutton Seekh Kebab,Thai,Non-Veg,561,37.8,19.8,44.6,Snack,54
127,Egg Sandwich,Indian,Non-Veg,190,11.3,29.3,61.1,Snack,85
128,Chicken Momos,Thai,Non-Veg,452,30.9,2.1,61.7,Snack,100
129,Chicken Wings,Thai,Non-Veg,458,34.5,22.0,65.7,Snack,66
130,Fish Cutlet,Mexican,Non-Veg,269,9.1,16.4,76.3,Snack,178
131,Chicken Popcorn,Continental,Non-Veg,633,38.4,12.6,52.2,Snack,168
132,Chicken Shawarma,Mexican,Non-Veg,506,23.0,11.0,74.0,Snack,79
133,Egg Bhurji,Italian,Non-Veg,238,32.0,17.2,16.7,Snack,63
134,Chicken Burger,Mexican,Non-Veg,392,30.9,25.9,41.4,Snack,119
135,Fish Pakora,Indian,Non-Veg,338,35.0,27.3,20.0,Snack,141
136,Butter Chicken,Indian,Non-Veg,208,19.1,29.3,59.9,Lunch,232
137,Chicken Biryani,Continental,Non-Veg,342,14.0,7.2,16.4,Lunch,222
138,Egg Curry with Rice,Continental,Non-Veg,216,19.6,15.2,26.6,Lunch,247
139,Mutton Curry,Italian,Non-Veg,189,15.5,22.5,49.8,Lunch,250
140,Fish Curry,Thai,Non-Veg,574,12.1,2.6,45.0,Lunch,282
141,Chicken Fried Rice,Italian,Non-Veg,659,29.6,11.3,17.3,Lunch,330
142,Prawn Masala,Thai,Non-Veg,580,28.6,11.5,52.6,Lunch,276
143,Mutton Rogan Josh,Italian,Non-Veg,613,32.6,29.2,78.4,Lunch,342
144,Egg Biryani,Mexican,Non-Veg,698,12.8,29.9,30.9,Lunch,334
145,Chicken Korma,Mediterranean,Non-Veg,459,20.4,12.4,12.2,Lunch,263
146,Fish Thali,Continental,Non-Veg,245,7.1,12.8,54.7,Lunch,204
147,Chicken Tandoori,Mexican,Non-Veg,231,13.0,29.9,19.2,Lunch,236
148,Keema Curry,Chinese,Non-Veg,622,15.4,8.4,74.6,Lunch,305
149,Prawn Biryani,Thai,Non-Veg,690,21.5,21.9,65.4,Lunch,314
150,Mutton Pulao,Indian,Non-Veg,271,10.7,18.4,45.5,Lunch,230
151,Grilled Chicken,Mexican,Non-Veg,436,35.4,5.7,67.4,Dinner,251
152,Chicken Curry,Mexican,Non-Veg,322,7.7,23.7,52.3,Dinner,207
153,Egg Masala,Italian,Non-Veg,191,8.8,12.7,12.3,Dinner,229
154,Mutton Stew,Indian,Non-Veg,588,30.2,12.2,59.8,Dinner,259
155,Fish Fry with Rice,Indian,Non-Veg,178,15.5,12.3,79.9,Dinner,213
156,Chicken Handi,Chinese,Non-Veg,668,33.8,30.0,16.9,Dinner,348
157,Butter Chicken with Naan,Indian,Non-Veg,261,7.9,17.1,48.5,Dinner,243
158,Mutton Keema,Continental,Non-Veg,293,38.7,17.8,46.5,Dinner,235
159,Chicken Do Pyaza,Chinese,Non-Veg,613,38.9,17.6,25.9,Dinner,300
160,Fish Masala,Continental,Non-Veg,297,36.4,25.5,68.6,Dinner,222
161,Chicken Shawarma Roll,Mexican,Non-Veg,462,37.6,4.8,48.0,Dinner,295
162,Mutton Biryani,Italian,Non-Veg,577,34.2,20.7,74.0,Dinner,288
163,Egg Fried Rice,Chinese,Non-Veg,550,36.9,5.9,54.0,Dinner,251
164,Fish Curry Thali,Mexican,Non-Veg,672,18.8,28.7,36.3,Dinner,339
165,Chicken Tikka Masala,Continental,Non-Veg,698,14.2,11.0,47.2,Dinner,327
166,Omelette,Chinese,Non-Veg,242,20.1,26.8,59.8,Breakfast,140
167,Egg Sandwich,Mexican,Non-Veg,205,16.2,25.7,71.5,Breakfast,127
168,Chicken Sausage,Thai,Non-Veg,492,37.0,24.4,11.1,Breakfast,123
169,Scrambled Eggs,Mediterranean,Non-Veg,206,13.6,10.6,33.8,Breakfast,144
170,Chicken Sandwich,Mexican,Non-Veg,517,35.7,28.8,20.1,Breakfast,199
171,Egg Paratha,Indian,Non-Veg,252,30.6,12.8,79.9,Breakfast,184
172,Bacon and Eggs,Thai,Non-Veg,581,16.3,12.9,72.6,Breakfast,198
173,Chicken Cutlet,Italian,Non-Veg,543,35.6,13.8,77.5,Breakfast,180
174,Egg Bhurji with Bread,Thai,Non-Veg,151,32.8,17.6,33.7,Breakfast,107
175,Chicken Frankie,Thai,Non-Veg,607,31.0,30.0,41.0,Breakfast,193
176,Fish Sandwich,Chinese,Non-Veg,507,10.7,9.5,56.4,Breakfast,182
177,Egg Toast,Italian,Non-Veg,238,12.1,25.0,43.5,Breakfast,145
178,Chicken Keema Paratha,Mexican,Non-Veg,194,30.1,19.3,57.0,Breakfast,183
179,Egg Roll,Chinese,Non-Veg,659,35.4,18.5,27.9,Breakfast,122
180,Chicken Poha,Mediterranean,Non-Veg,316,9.2,26.4,60.2,Breakfast,113
181,Egg Sandwich,Mexican,Non-Veg,205,16.2,25.7,71.5,Breakfast,192
182,Dhokla,Thai,Veg,318,20.4,11.6,79.8,Snack,115
183,Mutton Rogan Josh,Italian,Non-Veg,613,32.6,29.2,78.4,Lunch,307
184,Chia Pudding,Italian,Vegan,601,8.5,4.5,71.5,Breakfast,133
185,Chicken Burger,Mexican,Non-Veg,392,30.9,25.9,41.4,Snack,107
186,Oatmeal,Mediterranean,Vegan,161,9.2,20.1,18.6,Breakfast,163
187,Chicken Sandwich,Mexican,Non-Veg,517,35.7,28.8,20.1,Breakfast,189
188,Bacon and Eggs,Thai,Non-Veg,581,16.3,12.9,72.6,Breakfast,151
189,Stuffed Bell Peppers,Italian,Vegan,386,7.7,5.1,38.6,Lunch,219
190,Chicken Do Pyaza,Chinese,Non-Veg,613,38.9,17.6,25.9,Dinner,312
191,Malai Kofta,Indian,Veg,252,14.8,19.3,55.5,Dinner,247
192,Prawn Masala,Thai,Non-Veg,580,28.6,11.5,52.6,Lunch,281
193,Prawn Masala,Thai,Non-Veg,580,28.6,11.5,52.6,Lunch,270
194,Idli Sambar,Italian,Veg,160,24.5,3.0,59.9,Breakfast,179
195,Veg Kofta Curry,Mexican,Veg,303,11.8,18.5,50.4,Lunch,213
196,Malai Kofta,Indian,Veg,252,14.8,19.3,55.5,Dinner,217
197,Chicken Cutlet,Italian,Non-Veg,543,35.6,13.8,77.5,Breakfast,100
198,Chicken Pakora,Mexican,Non-Veg,585,19.4,25.1,51.0,Snack,107
199,Mutton Biryani,Italian,Non-Veg,577,34.2,20.7,74.0,Dinner,251
200,Veg Frankie,Continental,Veg,439,28.3,13.9,24.8,Snack,98
201,Roasted Chickpeas,Continental,Vegan,347,11.3,2.4,74.0,Snack,183
202,Chicken Frankie,Thai,Non-Veg,607,31.0,30.0,41.0,Breakfast,175
203,Veg Frankie,Continental,Veg,439,28.3,13.9,24.8,Snack,82
204,Hummus with Veggies,Thai,Vegan,245,8.4,18.9,59.5,Snack,155
205,Butter Chicken,Indian,Non-Veg,208,19.1,29.3,59.9,Lunch,219
206,Rajma Chawal,Mexican,Veg,339,15.3,13.1,73.4,Lunch,218
207,Veg Frankie,Continental,Veg,439,28.3,13.9,24.8,Snack,102
208,Masala Dosa,Mediterranean,Veg,435,10.4,28.0,32.0,Breakfast,191
209,Vegan Smoothie,Thai,Vegan,505,10.0,15.8,44.0,Snack,77
210,Peanut Butter Dates,Indian,Vegan,223,28.7,6.6,46.6,Snack,76
211,Fruit Bowl,Continental,Vegan,292,20.0,26.6,19.4,Breakfast,191
212,Mushroom Risotto,Thai,Vegan,692,18.2,16.6,15.0,Dinner,320
213,Vegan Buddha Bowl,Mexican,Vegan,364,25.4,18.0,38.3,Lunch,205
214,Chicken Frankie,Thai,Non-Veg,607,31.0,30.0,41.0,Breakfast,121
215,Gobi Masala,Indian,Veg,528,23.1,6.7,22.4,Dinner,286
216,Rajma Chawal,Mexican,Veg,339,15.3,13.1,73.4,Lunch,212
217,Chicken Burger,Mexican,Non-Veg,392,30.9,25.9,41.4,Snack,178
218,Paneer Lababdar,Italian,Veg,518,20.9,28.6,27.8,Dinner,297
219,Dhokla,Thai,Veg,318,20.4,11.6,79.8,Snack,110
220,Shahi Paneer,Continental,Veg,653,13.0,21.3,14.7,Lunch,310
221,Masala Dosa,Mediterranean,Veg,435,10.4,28.0,32.0,Breakfast,146
222,Stuffed Bell Peppers,Italian,Vegan,386,7.7,5.1,38.6,Lunch,240
223,Veg Biryani,Thai,Veg,323,29.0,8.9,78.7,Lunch,236
224,Besan Chilla,Mexican,Veg,192,17.2,3.0,47.1,Breakfast,135
225,Veg Sandwich,Thai,Veg,164,33.6,14.2,70.5,Snack,88
226,Avocado Toast,Thai,Vegan,402,11.6,2.4,44.2,Breakfast,135
227,Egg Sandwich,Mexican,Non-Veg,205,16.2,25.7,71.5,Breakfast,152
228,Bhel Puri,Mediterranean,Veg,311,13.8,10.7,74.2,Snack,160
229,Kale Chips,Italian,Vegan,643,10.3,13.9,58.8,Snack,160
230,Butter Chicken with Naan,Indian,Non-Veg,261,7.9,17.1,48.5,Dinner,207
231,Chicken Keema Paratha,Mexican,Non-Veg,194,30.1,19.3,57.0,Breakfast,134
232,Dhokla,Thai,Veg,318,20.4,11.6,79.8,Snack,165
233,Prawn Masala,Thai,Non-Veg,580,28.6,11.5,52.6,Lunch,260
234,Vegan Noodles,Mediterranean,Vegan,194,28.8,21.9,57.3,Dinner,200
235,Veg Burger,Mediterranean,Veg,350,34.4,27.3,39.8,Snack,198
236,Veg Sandwich,Thai,Veg,164,33.6,14.2,70.5,Snack,152
237,Egg Sandwich,Mexican,Non-Veg,205,16.2,25.7,71.5,Breakfast,176
238,Chicken Keema Paratha,Mexican,Non-Veg,194,30.1,19.3,57.0,Breakfast,114
239,Cheese Toast,Chinese,Veg,250,30.1,6.5,20.2,Snack,86
240,Egg Paratha,Indian,Non-Veg,252,30.6,12.8,79.9,Breakfast,180
241,Shahi Paneer,Continental,Veg,653,13.0,21.3,14.7,Lunch,309
242,Quinoa Salad,Thai,Vegan,349,39.8,12.4,47.6,Lunch,200
243,Masala Corn,Thai,Veg,408,23.0,22.2,32.7,Snack,182
244,Prawn Masala,Thai,Non-Veg,580,28.6,11.5,52.6,Lunch,296
245,Veg Sandwich,Thai,Veg,164,33.6,14.2,70.5,Snack,161
246,Chicken Tikka Masala,Continental,Non-Veg,698,14.2,11.0,47.2,Dinner,318
247,Mutton Pulao,Indian,Non-Veg,271,10.7,18.4,45.5,Lunch,221
248,Mutton Biryani,Italian,Non-Veg,577,34.2,20.7,74.0,Dinner,290
249,Oatmeal,Mediterranean,Vegan,161,9.2,20.1,18.6,Breakfast,169
250,Veg Pakora,Italian,Veg,207,17.3,3.5,44.9,Snack,120
251,Fish Pakora,Indian,Non-Veg,338,35.0,27.3,20.0,Snack,76
252,Rajma Chawal,Mexican,Veg,339,15.3,13.1,73.4,Lunch,236
253,Veg Burger,Mediterranean,Veg,350,34.4,27.3,39.8,Snack,170
254,Upma,Thai,Veg,470,12.0,21.2,34.0,Breakfast,148
255,Idli Sambar,Italian,Veg,160,24.5,3.0,59.9,Breakfast,131
256,Chicken Fried Rice,Italian,Non-Veg,659,29.6,11.3,17.3,Lunch,307
257,Veg Pizza Slice,Chinese,Veg,276,22.4,11.7,76.7,Snack,96
258,Couscous Salad,Continental,Vegan,495,36.1,25.5,68.7,Lunch,285
259,Dhokla,Thai,Veg,318,20.4,11.6,79.8,Snack,94
260,Vegan Yogurt Bowl,Continental,Vegan,258,18.5,20.1,48.6,Breakfast,161
261,Chicken Tandoori,Mexican,Non-Veg,231,13.0,29.9,19.2,Lunch,222
262,Egg Masala,Italian,Non-Veg,191,8.8,12.7,12.3,Dinner,250
263,Peanut Butter Toast,Chinese,Vegan,451,14.5,3.2,31.8,Breakfast,129
264,Dhokla,Thai,Veg,318,20.4,11.6,79.8,Snack,131
265,Chicken Handi,Chinese,Non-Veg,668,33.8,30.0,16.9,Dinner,302
266,Chicken Cutlet,Italian,Non-Veg,543,35.6,13.8,77.5,Breakfast,198
267,Veg Sandwich,Thai,Veg,164,33.6,14.2,70.5,Snack,182
268,Chicken Keema Paratha,Mexican,Non-Veg,194,30.1,19.3,57.0,Breakfast,138
269,Pav Bhaji,Mediterranean,Veg,457,15.8,12.5,28.8,Breakfast,195
270,Fruit Bowl,Continental,Vegan,292,20.0,26.6,19.4,Breakfast,183
271,Shahi Paneer,Continental,Veg,653,13.0,21.3,14.7,Lunch,308
272,Fish Fingers,Italian,Non-Veg,317,33.0,29.9,47.3,Snack,93
273,Masala Dosa,Mediterranean,Veg,435,10.4,28.0,32.0,Breakfast,175
274,Dhokla,Thai,Veg,318,20.4,11.6,79.8,Snack,58
275,Vegan Energy Balls,Mediterranean,Vegan,364,29.1,6.0,76.8,Snack,157
276,Mutton Seekh Kebab,Thai,Non-Veg,561,37.8,19.8,44.6,Snack,183
277,Chicken Tikka Masala,Continental,Non-Veg,698,14.2,11.0,47.2,Dinner,334
278,Chicken Cutlet,Italian,Non-Veg,543,35.6,13.8,77.5,Breakfast,104
279,Vegan Popcorn,Indian,Vegan,393,16.0,8.3,12.1,Snack,64
280,Fish Curry,Thai,Non-Veg,574,12.1,2.6,45.0,Lunch,295
281,Egg Sandwich,Mexican,Non-Veg,205,16.2,25.7,71.5,Breakfast,180
282,Mutton Pulao,Indian,Non-Veg,271,10.7,18.4,45.5,Lunch,215
283,Peanut Butter Dates,Indian,Vegan,223,28.7,6.6,46.6,Snack,183
284,Couscous Salad,Continental,Vegan,495,36.1,25.5,68.7,Lunch,287
285,Kadhi Chawal,Indian,Veg,162,8.7,14.5,79.3,Lunch,214
286,Chole Bhature,Indian,Veg,368,33.0,28.4,63.9,Lunch,206
287,Mutton Biryani,Italian,Non-Veg,577,34.2,20.7,74.0,Dinner,251
288,Fish Fingers,Italian,Non-Veg,317,33.0,29.9,47.3,Snack,73
289,Shahi Paneer,Continental,Veg,653,13.0,21.3,14.7,Lunch,337
290,Granola,Italian,Vegan,255,31.4,19.6,11.7,Snack,132
291,Veg Pizza Slice,Chinese,Veg,276,22.4,11.7,76.7,Snack,163
292,Mutton Biryani,Italian,Non-Veg,577,34.2,20.7,74.0,Dinner,262
293,Mutton Keema,Continental,Non-Veg,293,38.7,17.8,46.5,Dinner,250
294,Chicken Tikka Masala,Continental,Non-Veg,698,14.2,11.0,47.2,Dinner,328
295,Couscous Salad,Continental,Vegan,495,36.1,25.5,68.7,Lunch,278
296,Vegan Sushi,Chinese,Vegan,381,16.5,24.1,57.9,Lunch,204
297,Mutton Biryani,Italian,Non-Veg,577,34.2,20.7,74.0,Dinner,261
298,Egg Sandwich,Indian,Non-Veg,190,11.3,29.3,61.1,Snack,189
299,Veg Sandwich,Thai,Veg,164,33.6,14.2,70.5,Snack,87
300,Dhokla,Thai,Veg,318,20.4,11.6,79.8,Snack,145
301,Rajma Chawal,Mexican,Veg,339,15.3,13.1,73.4,Lunch,236
302,Shahi Paneer,Continental,Veg,653,13.0,21.3,14.7,Lunch,345
303,Poha,Italian,Veg,606,37.2,25.6,46.6,Breakfast,152
304,Vegan Sushi,Chinese,Vegan,381,16.5,24.1,57.9,Lunch,238
305,Omelette,Chinese,Non-Veg,242,20.1,26.8,59.8,Breakfast,158
306,Vegan Lasagna,Italian,Vegan,223,6.9,7.5,63.3,Dinner,225
307,Vegan Noodles,Mediterranean,Vegan,194,28.8,21.9,57.3,Dinner,211
308,Mutton Biryani,Italian,Non-Veg,577,34.2,20.7,74.0,Dinner,268
309,Chole Bhature,Indian,Veg,368,33.0,28.4,63.9,Lunch,239
310,Veg Frankie,Continental,Veg,439,28.3,13.9,24.8,Snack,163
311,Vegan Pizza,Mediterranean,Vegan,345,19.6,10.9,26.9,Dinner,219
312,Vegan Burrito,Italian,Vegan,477,30.1,11.3,40.9,Lunch,300
313,Mutton Pulao,Indian,Non-Veg,271,10.7,18.4,45.5,Lunch,240
314,Egg Sandwich,Mexican,Non-Veg,205,16.2,25.7,71.5,Breakfast,143
315,Chicken Frankie,Thai,Non-Veg,607,31.0,30.0,41.0,Breakfast,105
316,Thai Green Curry,Indian,Vegan,504,18.1,28.6,61.2,Dinner,262
317,Chicken Shawarma Roll,Mexican,Non-Veg,462,37.6,4.8,48.0,Dinner,250
318,Veg Handi,Thai,Veg,337,32.2,26.1,79.6,Dinner,220
319,Samosa,Thai,Veg,403,16.7,6.6,16.0,Snack,117
320,Vegan Pizza,Mediterranean,Vegan,345,19.6,10.9,26.9,Dinner,237
321,Avocado Toast,Indian,Vegan,483,17.2,4.9,16.4,Snack,74
322,Chicken Do Pyaza,Chinese,Non-Veg,613,38.9,17.6,25.9,Dinner,346
323,Rajma Chawal,Mexican,Veg,339,15.3,13.1,73.4,Lunch,231
324,Mutton Biryani,Italian,Non-Veg,577,34.2,20.7,74.0,Dinner,270
325,Fish Curry,Thai,Non-Veg,574,12.1,2.6,45.0,Lunch,296
326,Veg Kofta Curry,Mexican,Veg,303,11.8,18.5,50.4,Lunch,208
327,Egg Bhurji with Bread,Thai,Non-Veg,151,32.8,17.6,33.7,Breakfast,126
328,Butter Chicken with Naan,Indian,Non-Veg,261,7.9,17.1,48.5,Dinner,248
329,Chicken Burger,Mexican,Non-Veg,392,30.9,25.9,41.4,Snack,173
330,Vegan Overnight Oats,Indian,Vegan,567,10.3,29.6,20.1,Breakfast,150
